2024-07-14 23:28:12,842 INFO    StreamThr :68708 [internal.py:wandb_internal():85] W&B internal server running at pid: 68708, started at: 2024-07-14 23:28:12.841606
2024-07-14 23:28:12,844 DEBUG   HandlerThread:68708 [handler.py:handle_request():158] handle_request: status
2024-07-14 23:28:12,846 INFO    WriterThread:68708 [datastore.py:open_for_write():87] open: /Users/vedantgaur/Projects/mech-interp-triggers/wandb/run-20240714_232812-xwoo9e2u/run-xwoo9e2u.wandb
2024-07-14 23:28:12,846 DEBUG   SenderThread:68708 [sender.py:send():379] send: header
2024-07-14 23:28:12,869 DEBUG   SenderThread:68708 [sender.py:send():379] send: run
2024-07-14 23:28:13,143 INFO    SenderThread:68708 [dir_watcher.py:__init__():211] watching files in: /Users/vedantgaur/Projects/mech-interp-triggers/wandb/run-20240714_232812-xwoo9e2u/files
2024-07-14 23:28:13,143 INFO    SenderThread:68708 [sender.py:_start_run_threads():1188] run started: xwoo9e2u with start time 1721024892.842093
2024-07-14 23:28:13,154 DEBUG   HandlerThread:68708 [handler.py:handle_request():158] handle_request: check_version
2024-07-14 23:28:13,154 DEBUG   SenderThread:68708 [sender.py:send_request():406] send_request: check_version
2024-07-14 23:28:13,301 DEBUG   HandlerThread:68708 [handler.py:handle_request():158] handle_request: run_start
2024-07-14 23:28:13,310 DEBUG   HandlerThread:68708 [system_info.py:__init__():26] System info init
2024-07-14 23:28:13,310 DEBUG   HandlerThread:68708 [system_info.py:__init__():41] System info init done
2024-07-14 23:28:13,310 INFO    HandlerThread:68708 [system_monitor.py:start():194] Starting system monitor
2024-07-14 23:28:13,310 INFO    SystemMonitor:68708 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-14 23:28:13,310 INFO    HandlerThread:68708 [system_monitor.py:probe():214] Collecting system info
2024-07-14 23:28:13,314 INFO    SystemMonitor:68708 [interfaces.py:start():188] Started cpu monitoring
2024-07-14 23:28:13,317 INFO    SystemMonitor:68708 [interfaces.py:start():188] Started disk monitoring
2024-07-14 23:28:13,319 INFO    SystemMonitor:68708 [interfaces.py:start():188] Started gpuapple monitoring
2024-07-14 23:28:13,320 INFO    SystemMonitor:68708 [interfaces.py:start():188] Started memory monitoring
2024-07-14 23:28:13,321 INFO    SystemMonitor:68708 [interfaces.py:start():188] Started network monitoring
2024-07-14 23:28:13,754 DEBUG   HandlerThread:68708 [system_info.py:probe():152] Probing system
2024-07-14 23:28:13,759 DEBUG   HandlerThread:68708 [system_info.py:_probe_git():137] Probing git
2024-07-14 23:28:13,779 DEBUG   HandlerThread:68708 [system_info.py:_probe_git():145] Probing git done
2024-07-14 23:28:13,780 DEBUG   HandlerThread:68708 [system_info.py:probe():200] Probing system done
